id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
154;Rivadavia;86;Santiago del Estero;2023;Dengue;9;De 25 a 34 años;16;2
119;San Lorenzo;82;Santa Fe;2023;Dengue;11;De 45 a 65 años;16;4
412;José C. Paz;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;2
006;COMUNA 6;02;CABA;2023;Dengue;9;De 25 a 34 años;16;2
005;COMUNA 5;02;CABA;2023;Dengue;8;De 20 a 24 años;16;4
098;Río Cuarto;14;Córdoba;2023;Dengue;10;De 35 a 44 años;16;6
021;Castellanos;82;Santa Fe;2023;Dengue;5;De 5 a 9 años;16;9
077;General Taboada;86;Santiago del Estero;2023;Dengue;5;De 5 a 9 años;16;1
105;9 de Julio;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;6
999;desconocido;99;desconocida;2023;Dengue;10;De 35 a 44 años;16;10
012;COMUNA 12;02;CABA;2023;Dengue;5;De 5 a 9 años;16;2
028;Almirante Brown;06;Buenos Aires;2023;Dengue;7;De 15 a 19 años;16;2
441;La Plata;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;2
007;Burruyacú;90;Tucumán;2023;Dengue;7;De 15 a 19 años;16;3
028;Matacos;34;Formosa;2023;Dengue;9;De 25 a 34 años;16;1
119;San Lorenzo;82;Santa Fe;2023;Dengue;12;Mayores de 65 años;16;2
063;General Güemes;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;10
049;La Cocha;90;Tucumán;2023;Dengue;12;Mayores de 65 años;16;1
014;El Carmen;38;Jujuy;2023;Dengue;5;De 5 a 9 años;16;12
091;Oberá;54;Misiones;2023;Dengue;7;De 15 a 19 años;16;1
091;San Cristóbal;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;42
760;San Miguel;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;1
014;Cruz Alta;90;Tucumán;2023;Dengue;8;De 20 a 24 años;16;13
791;Tandil;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;1
161;Tapenagá;22;Chaco;2023;Dengue;7;De 15 a 19 años;16;1
999;desconocido;99;desconocida;2023;Dengue;11;De 45 a 65 años;16;1
490;Lomas de Zamora;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;1
006;COMUNA 6;02;CABA;2023;Dengue;6;De 10 a 14 años;16;2
007;COMUNA 7;02;CABA;2023;Dengue;4;De 2 a 4 años;16;1
763;San Nicolás;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;1
021;Comandante Fernández;22;Chaco;2023;Dengue;11;De 45 a 65 años;16;10
112;Metán;66;Salta;2023;Dengue;12;Mayores de 65 años;16;1
014;El Carmen;38;Jujuy;2023;Dengue;11;De 45 a 65 años;16;16
043;Fray Justo Santa María de Oro;22;Chaco;2023;Dengue;9;De 25 a 34 años;16;1
028;Famaillá;90;Tucumán;2023;Dengue;10;De 35 a 44 años;16;9
714;Salto;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;1
140;San Justo;14;Córdoba;2023;Dengue;12;Mayores de 65 años;16;3
009;COMUNA 9;02;CABA;2023;Dengue;8;De 20 a 24 años;16;15
049;General Güemes;66;Salta;2023;Dengue;11;De 45 a 65 años;16;14
001;COMUNA 1;02;CABA;2023;Dengue;9;De 25 a 34 años;16;64
056;El Alto;10;Catamarca;2023;Dengue;9;De 25 a 34 años;16;6
056;La Capital;74;San Luis;2023;Dengue;10;De 35 a 44 años;16;1
098;Mayor Luis J. Fontana;22;Chaco;2023;Dengue;5;De 5 a 9 años;16;2
021;Escalante;26;Chubut;2023;Dengue;12;Mayores de 65 años;16;1
147;Santa María;14;Córdoba;2023;Dengue;9;De 25 a 34 años;16;2
